time,seconds_elapsed,z,y,x,Activity,Shake
1743284677375549700,9.8645498046875,-8.293514251708984,-7.766790390014648,-8.916007041931152,In Pocket,False
1743284677385590000,9.874590087890626,-7.1921820640563965,-7.977479934692383,-9.385271072387695,In Pocket,False
1743284677395630000,9.884630126953123,-5.477933406829834,-8.571242332458496,-10.103530883789062,In Pocket,False
1743284677405670400,9.89467041015625,-3.141192674636841,-8.992621421813965,-10.21845245361328,In Pocket,False
1743284677415710500,9.90471044921875,-0.90979665517807,-9.222464561462402,-9.77791976928711,In Pocket,False
1743284677425750500,9.91475048828125,0.2777273952960968,-9.385271072387695,-8.71489429473877,In Pocket,False
1743284677435821300,9.9248212890625,0.6703764796257019,-9.327810287475586,-7.345410823822021,In Pocket,False
1743284677445861600,9.934861572265625,0.5554547905921936,-9.126696586608888,-6.119579315185547,In Pocket,False
1743284677455901700,9.944901611328126,0.3734954595565796,-8.628703117370605,-5.238513469696045,In Pocket,False
1743284677465941800,9.954941650390625,-0.4405331015586853,-7.891288757324219,-5.123591423034668,In Pocket,False
1743284677475982000,9.964982177734376,-1.321599364280701,-7.46033239364624,-5.477933406829834,In Pocket,False
1743284677486022100,9.975022216796877,-2.097320795059204,-6.981492042541504,-6.004657745361328,In Pocket,False
1743284677496062500,9.9850625,-2.767697095870972,-6.6846113204956055,-6.588842868804932,In Pocket,False
1743284677506102500,9.9951025390625,-2.691082715988159,-6.675034523010254,-7.144298076629639,In Pocket,False
1743284677516142800,10.005142822265626,-2.106897592544556,-6.952761650085449,-7.412448406219482,In Pocket,False
1743284677526213400,10.01521337890625,-1.359906554222107,-7.4986395835876465,-7.125144481658936,In Pocket,False
1743284677536253700,10.025253662109376,-0.4118026793003082,-7.881711959838867,-6.5696892738342285,In Pocket,False
1743284677546293800,10.035293701171875,0.2106897532939911,-8.20732307434082,-5.736507415771484,In Pocket,False
1743284677556334000,10.045333984375,0.7661445140838623,-8.571242332458496,-5.123591423034668,In Pocket,False
1743284677566374100,10.0553740234375,1.0534487962722778,-8.820239067077637,-4.7405195236206055,In Pocket,False
1743284677576414200,10.065414306640625,1.0534487962722778,-8.992621421813965,-4.462791919708252,In Pocket,False
1743284677586454500,10.07545458984375,0.9576807022094728,-9.059659004211426,-4.462791919708252,In Pocket,False
1743284677596494600,10.08549462890625,0.7565677165985107,-9.097966194152832,-4.520252704620361,In Pocket,False
1743284677606535000,10.095534912109375,0.2394201755523681,-9.21288776397705,-4.807557106018066,In Pocket,False
1743284677616605400,10.10560546875,-0.4501099288463592,-9.299078941345217,-5.4013190269470215,In Pocket,False
1743284677626645800,10.115645751953124,-0.8044517636299133,-9.519346237182615,-6.138733386993408,In Pocket,False
1743284677636685800,10.125685791015623,-0.7948749661445618,-9.615114212036133,-6.799532890319824,In Pocket,False
1743284677646726100,10.13572607421875,-0.7182605266571045,-9.892841339111328,-7.4316020011901855,In Pocket,False
1743284677656766200,10.14576611328125,-0.6703764796257019,-9.873687744140623,-7.738059997558594,In Pocket,False
1743284677666806500,10.155806640625,-0.8331822156906128,-9.739612579345703,-7.824251174926758,In Pocket,False
1743284677676846600,10.1658466796875,-1.158793568611145,-9.193734169006348,-7.690176010131836,In Pocket,False
1743284677686887000,10.175886962890624,-1.9249382019042969,-8.676587104797363,-7.27837324142456,In Pocket,False
1743284677696957400,10.18595751953125,-1.781286120414734,-8.398859977722168,-6.655880928039551,In Pocket,False
1743284677706997800,10.195997802734375,-1.1492167711257937,-8.216899871826172,-5.918466567993164,In Pocket,False
1743284677717037800,10.206037841796874,-0.3256114423274994,-8.111555099487305,-5.200206279754639,In Pocket,False
1743284677727078100,10.216078125,0.3064578175544739,-7.996633529663086,-4.989516258239746,In Pocket,False
